Type;Question;Answer
drug;what is aldactazide used for;The combination of spironolactone and hydrochlorothiazide is used to treat high blood pressure. This medication is also used to treat patients with edema (fluid retention) caused by various conditions, including heart, liver, or kidney disease. Spironolactone is in a class of medications called aldosterone receptor antagonists. It causes the kidneys to eliminate unneeded water and sodium from the body into the urine, but reduces the loss of potassium from the body. Hydrochlorothiazide is in a class of medications called diuretics (''water pills''). It works by causing the kidneys to get rid of unneeded water and salt from the body into the urine.
drug;how does insulin work?;Insulin is a hormone that helps glucose get into your cells to give them energy. Without insulin, too much glucose stays in your blood. Over time, high blood glucose can lead to serious problems with your heart, eyes, kidneys, nerves, and gums and teeth.
drug;how to use albuterol oral inhalation demonstration video;"To inhale the aerosol using an inhaler, follow these steps:
Remove the protective dust cap from the end of the mouthpiece. If the dust cap was not placed on the mouthpiece, check the mouthpiece for dirt or other objects. Be sure that the canister is fully and firmly inserted in the mouthpiece.
If you are using the inhaler for the first time or if you have not used the inhaler in more than 14 days, you will need to prime it. You may also need to prime the inhaler if it has been dropped. Ask your pharmacist or check the manufacturer's information if this happens. To prime the inhaler, shake it well and then press down on the canister 4 times to release 4 sprays into the air, away from your face. Be careful not to get albuterol in your eyes.
Shake the inhaler well.
Breathe out as completely as possible through your mouth.
Hold the canister with the mouthpiece on the bottom, facing you and the canister pointing upward. Place the open end of the mouthpiece into your mouth. Close your lips tightly around the mouthpiece.
Breathe in slowly and deeply through the mouthpiece.At the same time, press down once on the container to spray the medication into your mouth.
Try to hold your breath for 10 seconds. remove the inhaler, and breathe out slowly.
If you were told to use 2 puffs, wait 1 minute and then repeat steps 3-7.
Replace the protective cap on the inhaler.
Clean your inhaler regularly. Follow the manufacturer's directions carefully and ask your doctor or pharmacist if you have any questions about cleaning your inhaler.
To inhale the powder using the inhaler, follow these steps. Do not use the Respiclick inhaler with a spacer:
If you will be using a new inhaler for the first time, remove it from the foil wrapper. Look at the dose counter at the back of the inhaler and check that you see the number 200 in the window.
Holding the inhaler upright, with the cap on the bottom and the inhaler pointing upwards, load the dose by opening the protective dust cap at the end of the mouthpiece until it clicks. Do not open the cap unless you are ready to use the inhaler. Every time the protective cap is opened, a dose is ready to inhale. You will see the number in the dose counter go down. Do not waste doses by opening the inhaler unless you are inhaling a dose.
Breathe out as completely as possible through your mouth. Do not blow or exhale into the inhaler.
Place the mouthpiece between your lips well into your mouth. Close your lips tightly around the mouthpiece. Inhale slowly and deeply through your mouth. Do not breath in through your nose. Make sure that your fingers or lips do not block the vent above the mouthpiece.
Remove the inhaler from your mouth and hold your breath for 10 seconds or as long as you comfortably can. Do not blow or exhale through the inhaler.
Close the cap firmly over the mouthpiece.
If you are to inhale 2 puffs, repeat steps 2-6.
Keep the inhaler clean and dry at all times. To clean your inhaler, use a clean, dry tissue or cloth. Do not wash or put any part of your inhaler in water.
To inhale the solution using a nebulizer, follow these steps;
Remove one vial of albuterol solution from the foil pouch. Leave the rest of the vials in the pouch until you are ready to use them.
Look at the liquid in the vial. It should be clear and colorless. Do not use the vial if the liquid is cloudy or discolored.
Twist off the top of the vial and squeeze all of the liquid into the nebulizer reservoir. If you are using your nebulizer to inhale other medications, ask your doctor or pharmacist if you can place the other medications in the reservoir along with albuterol.
Connect the nebulizer reservoir to the mouthpiece or face mask.
Connect the nebulizer to the compressor.
Place the mouthpiece in your mouth or put on the face mask. Sit in an upright, comfortable position and turn on the compressor.
Breathe in calmly, deeply, and evenly for about 5-15 minutes until mist stops forming in the nebulizer chamber.
Clean your nebulizer regularly. Follow the manufacturer's directions carefully and ask your doctor or pharmacist if you have any questions about cleaning your nebulizer."
drug;gabapentin and pregabalin what is the difference?;"Lyrica (pregablin) and gabapentin (Neurontin) are anti-epileptic medications used to treat seizures and nerve pain (neuropathic pain).
Gabapentin also is used to treat nerve pain caused by shingles (herpes zoster). || Side effects of gabapentin that are different from Lyrica include:
Difficulty speaking
Viral infections
Fever
Unusual eye movements
Jerky movements
|| Side effects of Lyrica that are different from gabapentin include:
Dry mouth
Constipation
Swelling (edema)
Breast enlargement
Weight gain"
drug;why is pyridostigmine prescribed;Pyridostigmine is used to decrease muscle weakness resulting from myasthenia gravis.
drug;what is highest dose of oxybutynin a person can take;"Adults
The usual dose is one 5-mg tablet two to three times a day. The maximum recommended dose is one 5-mg tablet four times a day. A lower starting dose of 2.5 mg two or three times a day is recommended for the frail elderly.

Pediatric patients over 5 years of age
The usual dose is one 5-mg tablet two times a day. The maximum recommended dose is one 5-mg tablet three times a day."
drug;what is brand name of acetaminophen;"Acephen Rectal Suppository®
Feverall Rectal Suppository®
Mapap Rectal Suppository®
Neopap Supprettes Rectal Suppository®
Uniserts Rectal Suppository®
Aceta®¶
Actamin®
Adprin B®
Anacin®
Apacet®
Apara®
Apra®
Conacetol®
Dolono®
Feverall®
Genapap®
Genebs®
Gericet®
Halenol®
Infantaire®
Liquiprin®
Lopap®
Mapap®
Mardol®
Masophen®
Meda Cap®
Pain-Eze®
Panadol®
Panex®
Paramol®
Pediapap®
Q-Pap®
Redutemp®
Ridenol®
Silapap®
S-T Febrol®
Tactinal®
Tempra®
T-Panol®
Tycolene®
Tylenol®
Tylophen®
Uni-Ace®
Vitapap®"
drug;ink 2.3 how much coumadine should one take;"Take COUMADIN exactly as prescribed. Your healthcare provider will adjust your dose from time to time depending on your response to COUMADIN.
You must have regular blood tests and visits with your healthcare provider to monitor your condition.
If you miss a dose of COUMADIN, call your healthcare provider. Take the dose as soon as possible on the same day. Do not take a double dose of COUMADIN the next day to make up for a missed dose."
drug;how does spiriva work;Tiotropium is in a class of medications called bronchodilators. It works by relaxing and opening the air passages to the lungs to make breathing easier.
drug;norvasc and depression?;"The following events occurred in <1% but >0.1% of patients in controlled clinical trials or under conditions of open trials or marketing experience where a causal relationship is uncertain; they are listed to alert the physician to a possible relationship: || Psychiatric: sexual dysfunction (male4 and female), insomnia, nervousness, depression, abnormal dreams, anxiety, depersonalization."
drug;how many days after taking the pill with i start my period;Regular menstrual cycles will return within 3 to 6 months after a woman stops using most hormonal birth control methods.
drug;how often zoster zoster vaccine needs to be taken;The Centers for Disease Control and Prevention recommends that healthy adults 50 years and older get the Shingrix vaccine. You need two doses of the vaccine, given 2 to 6 months apart. Another vaccine, Zostavax, may be used in certain cases.
drug;what is bioflavonoid;Bioflavonoids are a group of what are called “polyphenolic” plant-derived compounds. They’re also called flavonoids. There are between 4,000 and 6,000 different varieties known. Some are used in medicine, supplements, or for other health purposes.
drug;what are the symptoms of a human exposed to boric acid powder;"The main symptoms of boric acid poisoning are blue-green vomit, diarrhea, and a bright red rash on the skin. Other symptoms may include:
•SKIN	MAY BE ABSORBED! Redness. May be absorbed through injured skin.	Protective gloves.	Remove contaminated clothes. Rinse and then wash skin with water and soap. Refer for medical attention.
•EYES	Redness. Pain.	Safety spectacles.	First rinse with plenty of water for several minutes (remove contact lenses if easily possible), then take to a doctor.
•INGESTION	Abdominal pain. Convulsions. Diarrhoea. Nausea. Vomiting. Skin rash.	Do not eat, drink, or smoke during work.	Rinse mouth. Refer for medical attention."
drug;dtap/tdap/td vaccines how often is this due;"Routine Vaccination of Infants and Children, Adolescents, Pregnant Women, and Adults
CDC recommends diphtheria, tetanus, and acellular pertussis vaccination (DTaP for those younger than 7 years of age, and Tdap or Td for those 7 years or older) across the lifespan.

Infants and children should receive 5 doses of DTaP, usually administered at 2, 4, and 6 months, 15 through 18 months, and 4 through 6 years of age. DT can be used for infants and children who should not receive acellular pertussis-containing vaccines.
Adolescents should receive a single dose of Tdap, preferably at 11 to 12 years of age.
Pregnant women should receive a single dose of Tdap during every pregnancy, preferably at 27 through 36 weeks gestation. Tdap is recommended only in the immediate postpartum period before discharge from the hospital or birthing center for new mothers who have never received Tdap before or whose vaccination status is unknown.
Adults should receive a single dose of Td every 10 years. For adults who did not receive Tdap as an adolescent, a dose of Tdap can replace one of the 10-year Td booster doses. (Note: When feasible, Boostrix® should be used for adults 65 years and older; however, either vaccine product administered to a person 65 years or older may be used. Providers should not miss an opportunity to vaccinate persons aged 65 years and older with Tdap. Therefore, providers may administer the Tdap vaccine they have available.)"
drug;who makes this drug nitrofurantoin ?;Procter and Gamble Pharmaceuticals, Inc.
drug;what is a daily amount of prednisolone eye drops to take;Two drops topically in the eye(s) four times daily. In cases of bacterial infections, concomitant use of anti-infective agents is mandatory. Care should be taken not to discontinue therapy prematurely.
drug;is lyrica the same as gabbentine?;"Lyrica (pregablin) and gabapentin (Neurontin) are anti-epileptic medications used to treat seizures and nerve pain (neuropathic pain).
Gabapentin also is used to treat nerve pain caused by shingles (herpes zoster). || Side effects of gabapentin that are different from Lyrica include:
Difficulty speaking
Viral infections
Fever
Unusual eye movements
Jerky movements
|| Side effects of Lyrica that are different from gabapentin include:
Dry mouth
Constipation
Swelling (edema)
Breast enlargement
Weight gain"
drug;how long it takes for withdrawals to go away on oxycodone;Withdrawal from oxycodone usually starts within 8-12 hours of taking the drug, and it peaks in the first 72 hours. Symptoms generally subside in about a week, although some of the psychological effects and drug cravings may persist for longer.
drug;what is a safe dosage for gabapentin?;In adults with postherpetic neuralgia, gabapentin capsules therapy may be initiated as a single 300 mg dose on Day 1, 600 mg/day on Day 2 (divided BID), and 900 mg/day on Day 3 (divided TID). The dose can subsequently be titrated up as needed for pain relief to a daily dose of 1800 mg (divided TID). In clinical studies, efficacy was demonstrated over a range of doses from 1800 mg/day to 3600 mg/day with comparable effects across the dose range. Additional benefit of using doses greater than 1800 mg/day was not demonstrated.
drug;seniors and premarin?;There have not been sufficient numbers of geriatric patients involved in studies utilizing PREMARIN to determine whether those over 65 years of age differ from younger subjects in their response to PREMARIN.
drug;can mucinex fast-max products be used with other over-the-counter (otc) or prescription medications?;Do not use with any other drug containing acetaminophen (prescription or nonprescription). 
drug;how opioids reduce pain;Opioids bind to and activate opioid receptors on cells located in many areas of the brain, spinal cord, and other organs in the body, especially those involved in feelings of pain and pleasure. When opioids attach to these receptors, they block pain signals sent from the brain to the body and release large amounts of dopamine throughout the body.
drug;how to stop taking buprenorphine;The decision to discontinue therapy with buprenorphine and naloxone or buprenorphine after a period of maintenance should be made as part of a comprehensive treatment plan. Advise patients of the potential to relapse to illicit drug use following discontinuation of opioid agonist/partial agonist medication-assisted treatment. Taper patients to reduce the occurrence of withdrawal signs and symptoms [See Warnings and Precautions (5.7)].
drug;what is the side effect of bp medicine on brain?;"Cough
    Diarrhea or constipation
    Dizziness or lightheadedness
    Erection problems
    Feeling nervous
    Feeling tired, weak, drowsy, or a lack of energy
    Headache
    Nausea or vomiting
    Skin rash
    Weight loss or gain without trying"
drug;qvar 40mcg what is it for;QVAR® is indicated in the maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older.
drug;"fentanyl ""patch,"" what if ""doesn't"" stick well";If problems with adhesion of the fentanyl transdermal system patch occur, the edges of the patch may be taped with first aid tape. If problems with adhesion persist, the patch may be overlayed with a transparent adhesive film dressing.
drug;what size pill is risedronate;12mm
drug;what is in the pill montelukast?;"MONTELUKAST SODIUM; CROSCARMELLOSE SODIUM; HYDROXYPROPYL CELLULOSE, LOW SUBSTITUTED; LACTOSE MONOHYDRATE; MAGNESIUM STEARATE; CELLULOSE, MICROCRYSTALLINE; FERROSOFERRIC OXIDE; HYPROMELLOSES; FERRIC OXIDE RED; FERRIC OXIDE YELLOW; TITANIUM DIOXIDE"
drug;what meds are in the pill montelukast?;ACTIVE INGREDIENT: MONTELUKAST SODIUM (UNII: U1O3J18SFL) (MONTELUKAST - UNII:MHM278SD3E)
drug;how often do you take flu vaccine?;Everyone 6 months of age and older should get a flu vaccine every season.
drug;hyptotension caused by lexapro?;Vascular Disorders: deep vein thrombosis, flushing, hypertensive crisis, hypotension, orthostatic hypotension, phlebitis, thrombosis.
drug;how to safely stop fluvoxamine malate;Symptoms associated with discontinuation of other SSRIs and SNRIs have been reported (see PRECAUTIONS). Patients should be monitored for these symptoms when discontinuing treatment. A gradual reduction in the dose rather than abrupt cessation is recommended whenever possible. If intolerable symptoms occur following a decrease in the dose or upon discontinuation of treatment, then resuming the previously prescribed dose may be considered. Subsequently, the physician may continue decreasing the dose but at a more gradual rate.
drug;dydrogesterone tablets 10 mg is for what purpose;Dydrogesterone, sold under the brand name Duphaston among others, is a progestin medication which is used for a variety of indications, including threatened or recurrent miscarriage during pregnancy, dysfunctional bleeding, infertility due to luteal insufficiency, dysmenorrhea, endometriosis, secondary amenorrhea, irregular cycles, premenstrual syndrome, and as a component of menopausal hormone therapy.
drug;how often do you need a shingles vaccine;The recommended schedule for live shingles vaccine is a single dose for adults 60 years of age and older.
drug;how often do you need a shingles vaccine;Shingles Vaccine (recombinant)  Two doses, 2 to 6 months apart, are recommended for adults 50 and older.  This vaccine is also recommended for people who have already gotten the live shingles vaccine (Zostavax). There is no live virus in this vaccine.
drug;when is the best tme to take magnesium citrate tab.;It is best to take magnesium supplements with a meal to reduce stomach upset and diarrheaunless otherwise directed by the product instructions or your doctor.
drug;why did my doctor give me levetiracetam;Levetiracetam Extended-release Tablets is indicated as adjunctive therapy in the treatment of partial onset seizures in patients 12 years of age and older with epilepsy.
drug;hydrochlorothiazide made by unichem is it safe?;Accord Healthcare Inc. is voluntarily recalling One lot (Lot PW05264 – 46632 Bottles, NDC 16729-182-01) of Hydrochlorothiazide Tablets USP, 12.5 mg, to the consumer level.
drug;how to use spiriva;For oral inhalation only. Do not swallow SPIRIVA capsules, as the intended effects on the lungs will not be obtained. The contents of the SPIRIVA capsules should only be used with the HANDIHALER device 
drug;how often should you use a dulera inhaler;DULERA should be administered as two inhalations twice daily every day (morning and evening) by the orally inhaled route (see PATIENT INSTRUCTIONS FOR USE in the Patient Information leaflet).
drug;what exactly is butalbital;Butalbital, 5-allyl-5-isobutylbarbituric acid, is a barbiturate with an intermediate duration of action.
drug;testosterone over counter?;NATURAL TESTOSTERONE- avena sativa. epimedium, lycopodium clavatum, damiana, testosterone, agnus castus spray
drug;what are beta blockers;Beta blockers, also known as beta-adrenergic blocking agents, are medications that reduce your blood pressure. Beta blockers work by blocking the effects of the hormone epinephrine, also known as adrenaline.
drug;is viagra a treament for cor pulmonale?;Sildenafil (Revatio, Viagra) and tadalafil (Cialis, Adcirca) are sometimes used to treat pulmonary hypertension.
drug;is lasix the only diuretic drug for fluid build up in heart failure patients?;Mild congestive heart failure is initially managed with a thiazide diuretic [11]. However, loop diuretics (e.g., furosemide, torsemide, or bumetanide) are the principal drugs used in the treatment of heart failure [22].
drug;is lasix the only diuretic drug for fluid build up in heart failure patients?;Commonly prescribed include: Furosemide (Lasix), Bumetanide (Bumex), Torsemide (Demadex), Chlorothiazide (Diuril), Amiloride (Midamor Chlorthalidone (Hygroton), Hydrochlorothiazide or HCTZ (Esidrix, Hydrodiuril), Indapamide (Lozol), Metolazone (Zaroxolyn), Triamterene (Dyrenium). What this type of medication does:  Causes the body to rid itself of excess fluids and sodium through urination. Helps to relieve the heart's workload. Also decreases the buildup of fluid in the lungs and other parts of the body, such as the ankles and legs. Different diuretics remove fluid at varied rates and through different methods.
drug;what can i do if unusual bruising appears after injecting enoxaparin;The local application of cold-hot packs is more effective on reducing bruises following enoxaparin sodium injections when compared with local cold pack application alone
drug;what effect if take high cholesteron pill;If diet and exercise don't reduce your cholesterol levels, you may need to take cholesterol medicine. Often, this medicine is a statin. Statins interfere with the production of cholesterol in your liver. They lower LDL (bad) cholesterol levels and raise HDL (good) cholesterol levels. This can slow the formation of plaques in your arteries.
drug;will anti viral drugs activate my angio edema condition?;[Antiviral] Treatment was discontinued prematurely due to patient-reported adverse effects in 4 (0.8%) patients, including angioedema (n = 1) [0.2%]
drug;what is the length of entecavir treatment;The optimal duration of treatment with entecavir tablets for patients with chronic hepatitis B virus infection and the relationship between treatment and long-term outcomes such as cirrhosis and hepatocellular carcinoma are unknown.
drug;how fast does teh medications take to work amlodipine;After oral administration of therapeutic doses of amlodipine besylate, absorption produces peak plasma concentrations between 6 and 12 hours.
drug;are tobacco and nicotine products addictive?;Is nicotine addictive? Yes. Most smokers use tobacco regularly because they are addicted to nicotine.
drug;how does sutent affect creatine;Among patients receiving sunitinib, the incidence of all grade increased creatinine levels is 12.4% to 65.6%
drug;how much b-12 is needed in an adult/month;Average daily recommended amounts … Adults 2.4 mcg
drug;how long does heroin stay in toxicology test;Most of the time, heroin is no longer detectable in a person’s urine after just 2 days. However, certain tests have been known to have a positive result for this drug for up to 7 days.
drug;how dangerous is cutting nifedipine er cc tablets;Nifedipine Extended-release Tablets should be swallowed whole. Do not chew, divide or crush tablets.
drug;what is the normal dose of clindamycin;Adults: Serious infections - 150 to 300 mg every 6 hours. More severe infections - 300 to 450 mg every 6 hours.
drug;how do you pronounce prednisolone;\pred-ˈni-sə-ˌlōn  \
drug;how to administer insulin;Inject NOVOLOG subcutaneously within 5-10 minutes before a meal into the abdominal area, thigh, buttocks or upper arm.
drug;what dosage amounts does aripiprazole;"The recommended starting and target dose for aripiprazole is 10 mg/day or 15 mg/day administered on a once-a-day schedule without regard to meals. Aripiprazole has been systematically evaluated and shown to be effective in a dose range of 10 mg/day to 30 mg/day, when administered as the tablet formulation; however, doses higher than 10 mg/day or 15 mg/day were not more effective than 10 mg/day or 15 mg/day."
drug;how long does ecstasy or mda leave your body;In terms of its metabolism, research suggests that MDMA taken by mouth reaches its maximal blood concentration in about two hours. As ecstasy is metabolized, it is secreted into the urine and can be present for up to two days.
drug;can spironolactone e used when talking furosemide;The combination product, in a daily dose of 1 or 2 capsules, was found useful and well tolerated in the management of congestive heart failure.
drug;how long should i take dutasteride;We strongly recommend that physicians discuss with their patients these potential serious adverse effects of long-term dutasteride therapy prior to instituting this form of treatment.
drug;what is in norvasc;"ACTIVE INGREDIENT-AMLODIPINE BESYLATE; INACTIVE INGREDIENTS-MICROCRYSTALLINE CELLULOSE, ANHYDROUS DIBASIC CALCIUM PHOSPHATE, SODIUM STARCH GLYCOLATE TYPE A POTATO, MAGNESIUM STEARATE"
drug;how soon does losartan afffect blood pressure;Hypertension … Peak (6 hour) effects were uniformly, but moderately, larger than trough effects,
drug;tudorza pressair is what schedule drug;DEA Schedule: None
drug;should metoprolol and lexapro be taken together?;Coadministration of Lexapro and metoprolol had no clinically significant effects on blood pressure or heart rate.
drug;what shape is the amlodipine pill;DIAMOND (DIAMOND)
drug;how to wean off calan sr;Do not stop taking verapamil without talking to your doctor.
drug;what does memantine look like;"Color - WHITE, Shape - ROUND, Score - no score, Size - 6mm, Imprint Code - M;103"
drug;what does memantine look like;"Color - WHITE, Shape - ROUND, Score - no score, Size - 8mm, Imprint Code - M;104"
drug;what does memantine look like;Color - ORANGE, Shape - CAPSULE (biconvex), Score - no score, Size - 10mm, Imprint Code - m5
drug;what does memantine look like;Color - GRAY, Shape - CAPSULE (biconvex), Score - no score, Size - 12mm, Imprint Code - m10
drug;what happens if your child ate a tylenol tablet;In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222) Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms.
drug;where is heroin originated from;Heroin is ... an opioid drug made from morphine, a natural substance in the seedpod of the Asian poppy plant.
drug;prevnar >65what is this vaccine ?;The pneumococcal conjugate vaccine (PCV13 or Prevnar 13®) protects against 13 types of pneumococcal bacteria. CDC recommends PCV13 for use in infants and young children and adults 65 years or older. Older children and adults younger than 65 years old who are at increased risk for getting pneumococcal disease may also need a dose of PCV13.
drug;what medications contribute to non-alcoholic fatty liver;Medications commonly implicated in causing fatty liver include corticosteroids, antidepressant and antipsychotic medications and, most commonly, tamoxifen.  In many instances, it is unclear whether the fatty liver disease is a direct result of the medication on the liver or a consequence of weight gain triggered by the medication (as occurs with many antidepressant or antipsychotic medications).  Amiodarone and methotrexate are also capable of causing fatty liver disease and hepatic injury that resembles alcoholic hepatitis with fat, lobular disarray, inflammation, Mallory bodies and fibrosis. With these two agents, however, the inflammation and fibrosis generally overshadows the degree of steatosis.  Both of these agents can cause fibrosis and cirrhosis.
drug;"what mg does lunesta come ""in?""";LUNESTA is available in 1 mg, 2 mg and 3 mg strengths for oral administration.
drug;what is fentanyl;Fentanyl is in a class of medications called narcotic (opiate) analgesics. It works by changing the way the brain and nervous system respond to pain.
drug;what is the reason for having to use heparin after a antibodies fusion;Heparin Lock Flush Solution, USP is intended to maintain patency of an indwelling venipuncture device designed for intermittent injection or infusion therapy or blood sampling.
drug;shingles vaccine , is it necessary to get a 2nd shot?;The recommended schedule for live shingles vaccine is a single dose for adults 60 years of age and older.
drug;shingles vaccine , is it necessary to get a 2nd shot?;Shingles Vaccine (recombinant)  Two doses, 2 to 6 months apart, are recommended for adults 50 and older.  This vaccine is also recommended for people who have already gotten the live shingles vaccine (Zostavax). There is no live virus in this vaccine.
drug;what drugs case erectile dysfuntion;The following is a list of some medicines and drugs that may cause impotence in men. There may be additional drugs other than those on this list that can cause erectile difficulties.
drug;how long does it take to get carbidopa levodopa out of your system;When carbidopa and levodopa are administered together, the half-life of levodopa is increased to about 1.5 hours. 
drug;it is latanoprost a cholinergic?;Latanoprost ophthalmic is used to treat glaucoma (a condition in which increased pressure in the eye can lead to gradual loss of vision) and ocular hypertension (a condition which causes increased pressure in the eye). Latanoprost is in a class of medications called prostaglandin analogs.
drug;can you take tamsulosin and ciprofloxacin ?;"INTERVENTIONS: Ciprofloxacin, 500 mg twice daily; tamsulosin, 0.4 mg once daily; a combination of the 2 drugs; or placebo. ... Treatments also did not differ significantly for any of the secondary outcomes."
drug;can i drink voltarel or cataflam when i drink medrol;Methylprenisolone (oral route) ... Using this medicine with any of the following medicines is usually not recommended, but may be required in some cases. If both medicines are prescribed together, your doctor may change the dose or how often you use one or both of the medicines. … Diclofenac
drug;"is oxybutynin an ""opioid?""";OXYBUTYNIN CHLORIDE
drug;in how much temp bcg vaccine should store;The intact vials of BCG VACCINE should be stored refrigerated at 2-8°C (36-46°F).
drug;how can biotin effect my blood test;FDA Warns that Biotin May Affect Some Lab Test Results …
drug;pneumococcal vaccine how often?;The pneumococcal conjugate vaccine (PCV13 or Prevnar 13®) protects against 13 types of pneumococcal bacteria. CDC recommends PCV13 for use in infants and young children and adults 65 years or older. Older children and adults younger than 65 years old who are at increased risk for getting pneumococcal disease may also need a dose of PCV13.
drug;pneumococcal vaccine how often?;The pneumococcal polysaccharide vaccine (PPSV23 or Pneumovax®) protects against 23 types of pneumococcal bacteria. CDC recommends it for all adults 65 years or older and for those 2 years or older at increased risk for disease.
drug;how to give diazepam rectal gel;1. Put the person having seizures on his/her side in a place where he/she cannot fall.2. Remove the protective cover from the syringe by pushing it up with your thumb and then pulling it off.3. Put lubricating jelly on the rectal tip.4. Turn the person on his/her side facing you, bend his/her upper leg forward, and separate his/her buttocks to expose the rectum.5. Gently insert the syringe tip into the rectum until the rim is snug against the rectal opening.6.Slowly count to 3 while pushing in the plunger until it stops.7. Slowly count to 3 again, and then remove the syringe from the rectum.8. Hold the buttocks together so the gel doesn't leak from the rectum, and slowly count to 3 before letting go.9. Keep the person on his/her side. Take note of what time diazepam rectal gel was given, and continue to watch the person.
drug;is there an antacid malox?;MAALOX ANTACID - aluminum hydroxide, magnesium hydroxide, simethicone liquid 
drug;what is pepsin;Pepsin is a potent enzyme in gastric juice that digests proteins such as those in meat, eggs, seeds, and dairy products [12].
drug;do i take over the counter calciun with alendronate?;Co-administration of alendronate sodium and calcium, antacids, or oral medications containing multivalent cations will interfere with absorption of alendronate sodium. Therefore, instruct patients to wait at least one-half hour after taking alendronate sodium before taking any other oral medications.
drug;if i am allergic to sufa can i take glipizide?;Glipizide is an oral blood-glucose-lowering drug of the sulfonylurea class. … Glipizide Tablets, USP are contraindicated in patients with: Known hypersensitivity to the drug.
drug;what color is phenytoin;PINK
drug;what color is phenytoin;WHITE (/Light Lavender)
drug;what color is phenytoin;ORANGE (/orange)
drug;what color is phenytoin;WHITE
drug;what are the ingredients in the drug methimazole;"ACTIVE INGREDIENT: METHIMAZOLE; INACTIVE INGREDIENTS: LACTOSE MONOHYDRATE; MAGNESIUM STEARATE; STARCH, POTATO; TALC"
drug;what is xanax;XANAX Tablets contain alprazolam which is a triazolo analog of the 1,4 benzodiazepine class of central nervous system-active compounds. The chemical name of alprazolam is 8-Chloro-1-methyl-6-phenyl-4H-s-triazolo [4,3-α] [1,4] benzodiazepine.
drug;how long should you use anti inflammatory gel;Use topical diclofenac (Pennsaid, Voltaren) exactly as directed. Do not use more or less of it or use it more often or for a longer period of time than prescribed by your doctor.
drug;what does hydro coding acet 5-325;Hydrocodone bitartrate and acetaminophen tablets are indicated for the relief of moderate to moderately severe pain.
drug;how is tetracycline metabolized?;Tetracyclines are readily absorbed and are bound to plasma proteins in varying degrees. They are concentrated by the liver in the bile and excreted in the urine and feces at high concentrations in a biologically active form.
drug;what do percocets look like;"Color - blue, Shape - ROUND, Score - 2 pieces, Size - 11mm, Imprint Code - PERCOCET;5"
drug;"how long is mda or ecstasy take to leave your ""body?""";In terms of its metabolism, research suggests that MDMA taken by mouth reaches its maximal blood concentration in about two hours. As ecstasy is metabolized, it is secreted into the urine and can be present for up to two days.
drug;how will i feel when taking memantine tablets;In double-blind placebo-controlled trials involving dementia patients, the most common adverse reactions (incidence ≥ 5% and higher than placebo) in patients treated with memantine hydrochloride were dizziness, headache, confusion and constipation.
drug;how will i feel when taking memantine tablets;Memantine is in a class of medications called NMDA receptor antagonists. It works by decreasing abnormal activity in the brain. Memantine may improve the ability to think and remember or may slow the loss of these abilities in people who have AD. However, memantine will not cure AD or prevent the loss of these abilities at some time in the future.
drug;blood thinner pills how to use them safely;Blood Thinner Pills: Your Guide to Using Them Safely ...
drug;what is coumadin;COUMADIN (warfarin sodium) tablets contain warfarin sodium, an anticoagulant that acts by inhibiting vitamin K‑dependent coagulation factors. The chemical name of warfarin sodium is 3-(α-acetonylbenzyl)-4-hydroxycoumarin sodium salt, which is a racemic mixture of the R- and S-enantiomers. 
drug;"what help withdrawal ""fom."" hydrocodone 10 35";Narcotics Anonymous (N.A.) assists people who want to stop abusing prescription or illegal drugs. Find a meeting center or online support group by searching for the local helpline or website for the area where the meeting is located.
drug;what are the different strenths of dexamethasone?;Dexamethasone Tablets 0.5, 0.75, 1, 1.5, 2, 4 and 6 mg USP, Dexamethasone Oral Solution, 0.5 mg per 5 mL and Dexamethasone Intensol™ Oral Solution (Concentrate), 1 mg per mL are for oral administration.
drug;how long can megestrol be taken?;At least 2 months of continuous treatment is considered an adequate period for determining the efficacy of megestrol acetate.
drug;what does metformin do;Metformin helps to control the amount of glucose (sugar) in your blood. It decreases the amount of glucose you absorb from your food and the amount of glucose made by your liver. Metformin also increases your body's response to insulin, a natural substance that controls the amount of glucose in the blood. 
drug;can you use fluorouracil past expiration date?;Do not use Carac after the expiration date on the tube.
drug;what is usual infusion time for cetuximab injecetion;Administer 400 mg/m2 initial dose as a 120-minute intravenous infusion followed by 250 mg/m2 weekly infused over 60 minutes.
drug;what is streptomycin;Streptomycin is an antibiotic produced by the soil actinomycete Streptomyces griseus. It acts by inhibiting the initiation and elongation processes during protein synthesis.
drug;what is the drug to drug interation for luvox and quillivant;AUGMENTATION OF SELECTIVE serotonin re‐uptake inhibitor (SSRI) therapy with methylphenidate is one form of next‐step treatment for patients with refractory major depression, especially in elderly patients.1 We present what we believe to be the first reported case of serotonin syndrome induced by augmentation of SSRI with methylphenidate.
drug;"albuterol portable ""nebulizer?"" microtia vibrating mesh nebulizing ""system.""";Evidence suggests that the vibrating mesh nebulizer (VMN) provides 5-fold greater aerosol delivery to the lung as compared to a jet nebulizer (JN).
