女 听过别人最多的议论就是干啥啥不行不长心眼没有脑子;这样的议论是针对谁呢？
女,29岁,婚姻问题，他把我打成轻伤，缝了七针，现在公安局已经报案，要去做鉴定了，公安局说要给调解，我因该怎么办呢;家暴还是不要调节了，长痛不如短痛
性别:男  年龄: 40 我现在换上了一种病，心里老是有压力，心里紧张，现在有点失眠，请问有那位心里专家帮助我一下，谢谢;关于你的心理问题，我们可以共同探讨，请联系我。
2007年购买邻居一宅基地，当时对方说是他一人的，没有他弟弟的份，现在他弟弟回来想要回。怎么办？我与他哥哥有出售合同;协商不成诉讼解决
女,看到别人的老公对自己老婆好，或者听到别人说她老公对他怎么怎么好，我就想我怎么没有一个这样的老公呢，羡慕嫉妒恨;您先生对你不好吗？
你能不能帮帮我，我老婆现在要和我离婚，我不肯，之前是我对不起他，我打过他，赌博也欠了债，我怎么才能挽回我的婚姻。;帮帮我吧！谢谢你。
女,我和老公结婚十二年了，感情也不错，可是现在他又喜欢上了另外一个人，那个人也喜欢他，但是老公现在不知道该怎么办;了断。
本人男，年龄30岁，我每天脑子像别人的一样，一片空白昏昏沉沉的，想个点子都费劲，这种情况有一年多了，我这是什么病？;请点击我头像并加关注、我们小窗口聊
我现在的情况是，读书读不下，工作也不想做。我只要一坐在那工作，或一站在那工作就觉得特别难受，特别心烦特别不情愿。;是否愿意详细点说说呢？
我们二十七年夫妻，都做爷爷奶奶了，为了家庭小事，妻子有固定收入，我是无业农民，她坚决要离婚，说寻求解脱，我怎么办;我是婚姻修复专家，你的问题我可以帮你解决。
对声音敏感，特别反感别人咳嗽清嗓子的声音，难以集中注意力，感觉别人是针对自己的，现在越来越没有自信了，请问怎么改善;你的这样敏感从什么时候开始的。
我女朋友总是很爱玩，经常玩到深夜才回来，电话也不打，我说过她，但是效果管不到几天，她还说我限制她自由，想过单身生活;你们多大了，处多久了
我今年二十岁，我老公三十五岁，我们是二婚，结婚两年了，我老公和前方有一儿一女，属于老公管，我目前正处在怀孕当中。;您的问题是？
相恋五年的男朋友要和我分手，因为我们身份有差异，他是大学老师我自由职业者，家人反对，迫于压力现在要和我分手，怎么办;请问你爱他吗？他对你如何？
感情问题，分手一次，特别爱他，但是总是沟通不好，好长时间了不能和好，很苦恼。怎样才能重新和好，解决我们的感情问题。;能具体谈谈如何沟通不好吗
女,21岁,被诬陷偷东西，被警察调查两次，现在如惊弓之鸟，恐惧脆弱，不敢对朋友说，不敢对家人说，不知如何消散恐惧和阴影。;咨询师都要严格的保密原则，受到法律制约。同上受到网站的严格管理。你可以放心咨询。绝对保密。即使你触犯法律，也是保密的。你有什么需求帮助，可以放心找我咨询。
我谈过三个男朋友，但是我总是会莫名其妙发脾气，然后说一些很伤人的话，还期待对方可以哄我。我想问我是不是心理有问题啊？;你是缺少安全感，和自信故意发脾气是为了吸引人的注意，恋爱中，这么做是行不通的，
为什么我感觉男朋友是爱我的，他也说是爱我的，但是他却不像以前一样花时间来陪我了，我一直找他他甚至不理我，说让他静一静;你们多大了，处多久了
我结婚十年，因为老公是司机常年在外面，我们直接有了猜疑隔阂，老公现在起诉离婚，我要怎么做，我老公才能撤诉，我不想离婚;可以点击咨询师头像，加关注，私聊，具体帮你分析确诊，咨询治疗。最好通过平台电话联系我咨询。
男,我往往选择什么做什么都犹豫不决。有时感觉自己是胆怯和懦弱的表现。请问这是自卑心理么？怎么才能调整自己的这个问题呢？;有自卑，不自信
我家的孩子最近半年学坏了，去酒吧，网吧，还喝酒抽烟，交男朋友，还是比她大很多的，我们说她，她就离家出走，我该怎么办？;孩子是在青春期，这是心理断乳现象！逆反心理严重，建议不要与其对抗适当引导！最好做心理咨询！
最近跟兄弟闹矛盾了，好郁闷，我们两个都在一个地方上班，现在搞得我不想上班了，可是我又不想违背我爸让我坚持的意思，好烦;最近跟兄弟闹矛盾了，有点不想跟他在一起上班了
男,28岁,跟朋友合作生意被骗反倒欠了一屁股高利债，现在的收入也就够还利息的，一点希望都看不到了，都绝望了，怎么就这么倒霉啊;你的心理困惑是什么呢？
我总感觉自己喜欢女的，就是特别容易对女性产生好感，以前以为是自己没有遇到对的异性，但现在遇到了，我却还是只对异性有感觉;请点击我的头像加关注，小窗私聊或用平台电话进行交流，也可购买我的咨询套餐，我会为您具体分析，精心指导，陪伴您更好地做出调适，更好地把握属于您的幸福与快乐～～
我得了严重产后抑郁症，能治好吗？二十五岁，恐惧，心慌，社交恐惧，所有的症都有，很严重的那种吧。疑心病特重了，也没自信心;你生孩子多久呢？
和男朋友以前感情很好，我以前对他很好，可是他现在因为家里不同意我们在一起就跟我提出分手，他又很在乎家人，我要怎么挽回他;点击我的头像，加关注，私下交流，具体帮你分析确诊，咨询治疗。最好通过平台电话联系我咨询。
我的老婆在和我结婚之前，有一个八岁的孩子，丈夫死了，不到一年后，嫁给我不到一年，现在怀着孕，离家出走，还要我不要找她，;具体什么原因啊，你们之间发生什么矛盾了吗？
女,我现在就害怕一人独自完成77事情，没次坐出租车都要人陪，就感觉自己一人坐，就觉得胸闷，头晕，怎么办，感觉自己一人就好紧张;你压抑太久了，负面情绪太多了，疏导出去，就好了
女,25岁,我发现自己无法恋爱了，接受不了任何人，动不动发脾气，觉得遇不到能懂我的人了。对爱情彻底失去信心了。不知道该怎么办？;请点击我的头像加关注，小窗私聊或用平台电话进行交流，也可购买我的咨询套餐，我会为您具体分析，精心指导，陪伴您更好地做出调适，更好地把握属于您的幸福与快乐～～
你好`我以前有个男朋友因为我现在不想和他在一起:我提出分手可他一天总是提出问我要钱、如不跟他他要对我怎么怎么的我现在应怎么办;好
请问，一个年龄和我相仿的女孩问我为什么和那些小孩聊天聊的来，而一个中年妇女也问我怎么和老人聊得来，那么我是一个怎样的人呢？;好
对于自己七年来的感情，还有婚姻不知道该不该放手，，想放手可是又舍不得！！放不下孩子。，不放手这样过得又好累好累，我该怎么办;老师你好
我男朋友突然就走了，我的心里放不下。我和他都三年了。我真的很难受，总是哭。害怕黑天一个人，我特别想他。可不知他会不会回来了。;走了多久？走后就没联系你了吗？
未婚妻说跟我一起一点都不开心说我不关心她   我关心了   只是没关心到位现在她要退婚了    我该怎么办    我不像失去她     我们是相亲的;未婚妻说因为你不会关心她，为此要退婚，既然不想失去她，你做了怎样的努力和补救改变呢
我女朋友和我分手了，但是我很爱她想要挽回这段感情，现在她把我的微信Qq和电话号码都拉黑了，现在联系不上她，我该怎么办 用什么方式;请点击我的头像加关注，小窗私聊或用平台电话进行交流，也可购买我的咨询套餐，我会为您具体分析，精心指导，陪伴您更好地做出调适，更好地把握属于您的幸福与快乐～～
我和我男朋友最近总是吵架，他说我现在变得很粘人很依赖他，他跟不喜欢我这个样子，我想和他好好谈谈，他也不想听我说话，我该怎么办;你可以先点击关注我
医院夜班值班大夫拒绝收治 发高烧孩子 导致孩子从急性支气管炎发展成肺炎，我该如何维护正当权益 可以得到什么样的补偿。请高人指点。;有证据吗？
快要中考了。。。前两天刚刚期中考试完。。考得不好，对于剩下的一个月的时间似乎有点不耐烦，也不愿意学了，我这到底是怎么了？？？;好
我和我女朋友恋爱快两年了，就因为去年，打小孩，没有承担责任，现在她还爱我，心里有我，但就是不相信我，现在她要和别的男人在一起;你有点不仗义了，伤害了她，是吗
我和女朋友分手有段时间了而现在又加我好友找我聊天我一直没有忘记她我问她可不可以从新在一起她说不合适都是曾经了她这是什么意思。;重点是你自己的看法，是不是自信，是不是有主见。关注我一下，详细的咨询，会有很好的效果。
我现在是一个19岁的孩子  读高一   我男友是一个40岁的人   我很依赖他  也时时刻刻想他 我很想跟他永远在一起   这样的我们以后还能在一起吗;一切皆有可能，根本是，你是依赖对方，还是自己本身就成熟快乐，分享自己的爱和快乐。
我才17岁，，现在赌博输了1万多元，，之前就像家里要了4万多元钱赌了，，现在家里已经不管我了，我都有点想死了，请告诉我我该怎么办？;靠自己挣钱把债务还上！
我跟老公结婚一年，期间各种问题都发生，后来他爱上了一个年纪很小的姑娘，那女的，可能活泼可爱，让他很轻松，我该怎么挽回我的婚姻？;请点击我的头像加关注，小窗私聊或用平台电话进行交流，也可购买我的咨询套餐，我会为您具体分析，精心指导，陪伴您更好地做出调适，更好地把握属于您的幸福与快乐～～
前夫外遇出轨，协议离婚，负责孩子全部费用，并承诺家里的事他都管，现在外同居，不过重要的证件及许多衣物都在家里，这是什么意图呢？;请点击我的头像加关注，小窗私聊或用平台电话进行交流，也可购买我的咨询套餐，我会为您具体分析，精心指导，陪伴您更好地做出调适，更好地把握属于您的幸福与快乐～～
我14岁，女孩，可是网恋一个37岁的女人，她已经结婚了，又有两个孩子，对我很冷淡，可是我真的好喜欢她阿，我知道自己同性恋。可是。。。;我是父母离异的。。
请问我们都在外地，不是当地户口想离婚，孩子会怎么办？我想要孩子，我是母亲，孩子一直跟我亲，从出世没分开过，在外地可以判决孩子吗？;孩子多大了，通常越小，跟母亲机会大。
失眠，一到睡觉时间就紧张，兴奋，睡不着，白天无精打采，觉得自己有什么病，整天担心，也觉得自己心理有问题，现在我这种状态应该怎么办;这种情况有多长时间了？发生了什么让您担心的事情吗？
想交好多朋友但是不知道怎么相处～我想和他人建立那种平等的友谊～不是让她们觉得我不如他们～还是社交能力差吧～不自信～请问谁能帮帮我;你今年多大了
我和丈夫有一套婚后房产和一辆车,房子买的时候他父母出的15万我们出了3万,房产证是丈夫的,这是属于夫妻共同产财吗?离婚了我能拿一半财产吗?;要看他父母出资是怎么界定的了
对一个女生有好感，便约出来吃饭，聊的还蛮开心，最后发现她是富二代，而我只是小康，虽然她之后也会主动和我发微信，但是我确有些犹豫了;你为什么会犹豫呢？
我对一个刚认识不久得女孩子表白了，被拒绝，过后我感觉后悔了，是我太唐突了，我也很喜欢这个女孩子，请问还有补救的方法吗？谢谢各位了。;你所指的补救，是什么意思呢
您好，我是一位已婚妇女，在无意中结识了一位已婚男，走了三四年，这几天他离开了这座城市，我就心急如焚的，坐卧不安，怎么我才能走出来呢;淡若晨风。
我很爱他，他也很爱我，然后他总是不细心。和以前一样跟没有对象是的，干什么都不知道跟我说一声，总让我担心。我就是跟他闹气，每个星期！;以前我是个脾气特别好的女孩。没有遇到过这样的男生。
女,33岁,被人威胁敲诈10万元人民币，有证据，如果案子成立，敲诈10万元判多久，另外如果在警方调查前把威胁的东西公布，情节是否严重，怎么判！;我想遇到这样的事情一定很痛苦，你是希望对方被处罚的严重还是轻呢？
我初一刚开始时喜欢一个初二的，可他先不喜欢我，可后来当他慢慢的爱上我时，我似乎对他好像没有什么感觉了，请问这是不是代表我不爱他了呢？;可以点击咨询师头像，加关注，私聊，具体帮你分析确诊，咨询治疗。最好通过平台电话联系我咨询。
您好 我想问一下 我对象现在一定要和我离婚 可是我很爱他 不想和他离婚 他要是到法院起诉我离婚是不是也需要找律师 法院一般会怎么处理呢？谢谢;离婚可以不请律师
我和她以前是很好的朋友，现在我俩已经开始喜欢上对方了，可是我又接受不了她的那个脾气，而且我俩都是结婚的，我和她老公还是从小一起长大的;很乱，你们是婚外恋吗
27个月的女宝宝，看见苍蝇、蚊子等飞虫，就惊恐万分，大哭，往大人身上逃，是怎么回事？该怎么办？陌生人接近也怕，但不至于惊恐、哭。请求帮助;点击我头像关注我 我告诉你方法
我老婆不爱我了，和别的男人玩，每天晚上很晚回来，她G跟我讲和同事出去的，我们两都是教师，有一个两岁的孩子，她为了那个男的，孩子都不管了;好
我媳妇跟我生气啦，想离婚，结婚一年才，我有时候没太关心她，她心凉了，但是他心疼我，还对我有感情，但是不相信我能改，没有勇气相信。怎么办;请点击我的头像加关注，选择私聊或直接选择平台电话详谈，做为专业咨询师和情感专家，我会认真面对您的问题具体分析协同解决。
我跟我男朋友生活还不错，可是他时不时有种觉得我们不合适的心理，现在又有强烈想分的心理，可是又舍不得，我现在真不知道他怎么，嫌弃我什么？;能具体说说哪方面他觉得你不合适吗？
女,老公出轨，被我发现了，是他的女同事，现在他说他们断了，但是我心里还是很纠结，因为他们还会偶尔一起出差，他让我不要乱想，但是我做不到。;老公出现这种事，的确让人纠结。理解您的感受。请加我关注我们私聊。
您好，我老公离家出走了，我也想好了，不打电话，他把我手机设黑名单，微信也删了，我觉得不管怎样也没必要再打电话了，等着吧，但我心里很难过;你想怎么解决这件事呢
我和老婆两年多没有在一起了，我忘记不了她，我很爱她，现在我怀疑我得忧郁症了，为什么那么长时间反而越来越忘记不了痛苦都的天天睡觉都睡不好;理解你的感受，针对你们的关系，你要的好的关系是什么样子呢？
我每天都为一件事情苦恼，分分钟钟都在想，越想越生气，自己不受控制，影响了我的正常工作，影响了我的情绪，心情，真的很苦恼，帮帮我吧医生！;能说说什么事困惑了你吗？
我2014年月初结婚，现在有一个八个月的儿子，因感情破裂无法挽回，我提出离婚，但他碍于面子不离，我不想为这段破碎的婚姻一直拖着，我该怎么办？;点击关注我 让我给你留言
自己不知道怎么了，总是值不值当的就发火，其实都是些小事，却控制不住自己，还很爱多想，疑心很重似的，对自己老公也是忽冷忽热的，我这是怎么了;求助
想问一下，一个朋友借我的钱有四五年了，我主动发过Qq信息给他，他没回，而且这几年一直没联系过，我有给他打钱的银行卡记录纸，可以把要回来吗？;你还需要借条。
我的女朋友母亲不同意她跟我在一起，我女朋友也因为这事跟我分手，只不过我的真诚感动了她，现在她还是摇摆不定，说是很累，我还怎么劝说女朋友？;能详细和我说说你的情况吗
女,26岁 胸闷 喜怒无常 情绪变化特别快 不爱和别人多说话 开玩笑也少了。暴饮暴食 脑袋也不好使了。记忆力特别差 别人说什么我觉得我脑袋都不像从前了;你这样多久了，有没有发生什么事情？
刚交往几天的女朋友前几天很热情，这几天突然很不想跟我讲话，对我也很冷淡，爱理不理的，发Qq信息给她也不想回 ，问她是不是在忙，她居然说在看小说;救人一命胜造七级浮屠 希望好心人赶紧搭救，在下感激不尽
认识一个女孩，她有男朋友了。我很喜欢她，她说我很真诚。那条和她分别时，我说我想抱她一下，她很害羞，但是没拒绝，我抱了她一会。她喜欢我么？;不要预设如何，慢慢等待事情发展
男,两个人同房，一开始好好的，后面就不行变的心跳加快，心理纠结，发热，硬不起来，什么原因，在家试过都好好的，外面自己喜欢的人就不行，什么原因;你今年多大了，以前有过性经历吗
我跟老婆要离婚不知怎么办，我从小爷爷奶奶带大，性格有点孤僻，老婆内向又不大理我，只知道和弟弟打游戏，所以我骂了她姐弟，现在搞的关系紧张了。;欢迎点我头像加关注
女,您好，我曾今得过被迫害妄想症，在精神病院住过3个月，只有家族成员知情还有3个朋友知道， 我现在有点担心重新工作和社交大家对我的看法，怎么缓解;点我关注，电话咨询你的问题我帮你解决。
老婆身体出轨，我原谅了她，她和那男的还有联系我发现了她说不会再联系了我又原谅了，我现在不知道该怎么相信她怎么和她相处。我想问问我该怎么处理？;如果你还爱她，那就多理解她，她出轨的原因是什么，要先弄清楚
您好， 您好，我很喜欢我男朋友，可是现在分手了。他也没有说原因，我心里很难过，我朋友也去找过他，他说他也还喜欢我，但是必须要忘记，我接受不了。;如果能让你接受现实，你愿意放手吗
我平时跟熟悉的人说话还好，跟陌生人说几句脸就会红，或是有人说出我的心里化也会脸红，都这么大了感觉挺不好意思的，麻烦专家帮我看看怎么能调理一下，;你多大了
性别:男  年龄: 21 我现在 《下面 》不行 感觉每天好累  一个月有没什么钱 看着亲戚朋友 自己没用感觉害怕面对别人 不想和别人讲话有时想到过结束自己生命。。;你有过过度手淫的习惯吗？
我和我丈夫在也生活不下去了，他居然和丈母娘搞在一起，我无法接受，我恨他，即使我不愿意和他同房，他也不能这样啊，我不知道该不该把这件事告诉我的父亲;我很想要忘记，可是我就是做不到阿，我的的心去刀绞，好痛啊
男,跟女朋友关系发展很快，1个多月了已经关系很近，最近女朋友，不太爱跟我打电话了，以前是很愿意的。让她说，她说我跟得太紧了，没自由。请问是我的问题吗;距离产生美啊
现在正值清明节。我的父亲被卖石碑的人雇佣开自家四轮农用车给立石碑的家庭送石碑，途中翻车造成伤害，现正在医院治疗，我想问一下可以追责吗？谢谢各位专家;可以向卖石碑的主张权利
您好医生，我的问题就是，我老是有莫名其妙的感觉，凡事我老公和任何一个女性朋友说话，或者是眼神对视一下，我都会认为他们和有什么关系，我这是什么情况呀;你太敏感，没自信了
我跟男友是相亲认识，目前已经相处两个月了，我的父母却因为男方家庭经济原因，还认为他父母为人处世原因，让我跟他保持距离，还建议我回家相亲，我该怎么办;美女
男,19岁,我喜欢一个女生，她的意思我感觉也有点喜欢我。但我给她表白！她说还一直在等她的前对象（在一起了9个月第一次给了那个男生）我该怎么去追她让她答应我;你你好
我出轨了，现在对方要离婚，他老婆拿到我们隐私聊天记录，要挟散发，我向老公承认错误，老公说事情不闹的沸沸扬扬就不离婚，我该怎么办？对方女的不听任何解释;请问你心里真实的想法是什么呢？是爱老公，还是爱他？
性别:女  年龄: 17 13号我去医院检查结果我得了子宫内膜炎医生以帮我治疗了 可是我并没有听医生的话去完成 现在这几天肚子还疼 血还来一多 我该不该去医院看看呢？;去吧，遵医嘱。
您好！我是一名大二的女学生，我时常觉得别人看不起我，我很自卑，可是我真的很想克服这个缺点，使自己变得自信一点，您能有什么方法帮助我变得自信吗？谢谢！;自卑感是童年经历生活环境影响
我说话爱想很多事，没事就爱瞎想，幻想，心里想问题非常的自我矛盾，想起以前做不好的事就想虐待自己。有时非常自卑，有时自傲。我怀疑是不是自己有心理疾病？;假如一个小时时间，能处理好你的问题，你现在详细电话咨询有意向吗？
你我想问一下，性受虐癖能治好吗，我想正常，我现在对男的女的都没性冲动，好烦啊，我是男的，今年23岁，该怎么办啊，压力好大呀，求好心人能解答下，感激不尽;点击我的头像，再点击图文咨询
女,30岁,您好，我结婚三年了，有个三岁的女儿，老公和我几乎没有共同的话题，交流很少打了我三次，昨晚还当着女儿的面，我现在只想离婚，可是我又害怕，怎么办？;害怕啥？
本人男，我有时候感觉很孤独自卑，现在26了还没找到女朋友，平时也不知道和谁倾诉，心里很多事情压抑这，有时候晚上一个人就感觉很孤独，该怎么解决啊，好苦恼。;你从小就这样，还是最近这样的
我结婚13年了，我老婆用微信和一个男的私聊过，比此用过亲蜜称呼过。我们吵闹过，她也给我保证了，不会在联系。可是我很痛苦，对什么都不敢兴趣了。我该怎么办？;你需要做的事情其实并不难。点我关注。我告诉你怎么办
我是一名中学生，平时学习不错。但每次考试都很紧张，心情焦虑，有时胃疼。出了考场再看卷子，不会的也会了，做错的也能发现了。我怎么才能克服着自己的紧张呢？;可以专注私聊。
一份工资9000甚至上万但是要去外地，还有一份工资不会超过5000但是可以追喜欢的人(她曾经喜欢过我，可是我欺骗过她一次。她对我死心了)，很有可能追不到。该如果选择？;面临选择时，看清自己的内心是最重要，学会为自己的选择负责。
离婚以后我为什么什么样的女人我都不相信！我把所以女人看的都是那很坏！我现在女朋友对我很好！可是我就是走不出来以前那段伤害我的感情！那个医生能帮我走出来！;如果你愿意，点我加关注，进行电话咨询，我们一起来分析这个问题，希望你不要错过现在的女朋友
我和老公是运城的，在本地结婚买房，前几年在外地做生意，现因感情破裂我已起诉离婚，但对方寄来管辖议意一份，本地法院要求我撤诉，请问如果我不撤诉法院会开庭吗;管辖异议先让法院确定管辖法院
我和我老公每次吵架都是为了一件小事，吵的不易不饶的，他要出去，我不让走，甚至动手互相伤害，我拿刀相逼，直到他离家出走，我很爱他，我也不想离婚，我怕失去他;看来。你们的关系出了问题。需要了解后来调节。
我和我老公每次吵架都是为了一件小事，吵的不易不饶的，他要出去，我不让走，甚至动手互相伤害，我拿刀相逼，直到他离家出走，我很爱他，我也不想离婚，我怕失去他;这…
您好，专家，十岁男孩春季开学半个月后呕吐，发烧，腹痛，在家治疗二十天后，身体康复了，但是不去上学，一提上学和学就大哭大闹，厌世，紧张等情绪，家长应该怎么办;好
女,我现在很迷茫，毕业快一年了，感觉自己各种不顺，没有任何成就，不喜欢现在的工作，也不知道自己适合什么样的工作，难道要这样混下去么，不知道该何去何从？？？求解;我也曾经年轻过，迷茫过，这是人必经之路。
老公说对我绝望了，，，在Qq上和别的女人说他的工资多少    他生病了     又和视频女当着我的面聊天   又和工地女得当着我的面说她漂亮说我丑    还叫我女儿叫那个女的二妈;他玩游戏不和我说话
女,以前有宫颈糜烂二度，就用了点药，什么银离子凝胶，上到阴道里的，可是用了10天左右，发现阴道分泌物成豆渣样了？很头疼，不好意思去医院看，请哪位大夫帮忙解答一下呗;用药后糜烂面坏死脱落后形成的，排出来就是你说的脏东西。不用担心，随着鳞状上皮的不断形成很快会康复。不放心可以去医院再看看。
请问我为什么总是积极不起来。临近高考，我成绩很差，大家都在鼓励我，帮助我，为什么打心眼里就觉得自己不行。遇到事总是下意识往悲观的那条路想。想想的心里就很难受。;高考临近，来自各方的鼓励和你实际面对的压力交织在一起，让你觉得无所适从，是吗？自己调整不好，我可以帮你做高考减压。点我头像关注，电话咨询吧！
我从小跟着叔叔哥哥看鬼片，长大后特别害怕，家里一个人的时候就害怕，尤其洗头发的时候非常害怕，觉得身后有一个鬼，特别害怕，有时候是女鬼有时候是男鬼，很害怕，好几年了;晚上好，美女
与女朋友交往几天，她主动表白的。昨天她翻看我与男基友的聊天记录，其中我提到我跟她只是朋友关系，后来她就和我吵架了。她哭了一晚上。感觉我们要分手了。我应该怎么办。;请点击我的头像加关注，小窗私聊或用平台电话进行交流，也可购买我的咨询套餐，我会为您具体分析，精心指导，陪伴您更好地做出调适，更好地把握属于您的幸福与快乐～～
我不知道自己为什么老是会想一些奇怪的画面，有些事老是解不开，老是抱怨自己不够好了，天天都愁眉苦脸的，对自己的未来感到恐惧每天都感觉自己活的好累，有时候我真的想只杀;请问你的年龄，性别，职业，这样多久了，有没有发生什么事情？
女,我有个客户拿我的货，没付款，只有一张出货单，后来才知道店关门了，因为吸毒进去了，然后和老婆也离婚了，我想请问这个欠款我应该问谁要？可以去问他老婆和老丈人要吗？;你只能问这个客户要，至于是否问他老婆或老丈人要关键就要看他们是否参与本次交易。
我最近老是做梦，梦到有陌生男人与我有肌肤之亲，我想要反抗，却动弹不得，我想要吼叫，却怎么也叫不出声来，而且梦还会连续两三次才会不再相似。为什么我会老是做那样的梦呢？;请问这是心理疾病吗？
是我的虚荣心不是我画的画，却送给她说是我画的，以前她也提醒了我，发现了，可以我还在想她知道了会不高兴。已经六天了她不接电话，心里很难受，她是怎么想的？会和我分手嘛？;你要自信些
我想咨询一下我是不是有产后抑郁症？我家孩子两岁了，我现在总是乱想，想老公不爱我，想一些有的没的老是和老公吵架，因为一些小事就吵，心里很烦，有时烦的都有不想活的念头，;点击我的头像，点击关注我，然后私下交流，好吗？
我和我老公生活了一年多有一个女儿马上一岁了,感情不好,我很想离婚,可又舍不得,刚结婚时就不想结的,是他说给他一年的时间,他会改的,可现在他并没有改,反而更让我受不了!我现在该怎么办;孩子快一岁了？
男,23岁,虽然条件不差 父母也给自己买了三十多万的车。不过还是感觉很不自信。还经常羡慕别人。 心眼还太小。好像看不得别人好  就羡慕嫉妒恨  感觉自己没什么本事 是不是心里有病啊;工作吗，满意吗
在;有什么需要帮助的？
我老公有一个不是亲生的妹妹，他们聊天很多，虽然没有暧昧，但从他们的聊天里可以感觉得到他们对彼此的思念和牵挂，我不知道是不是我多心了，可半夜一两点都会发信息那说明什么呢？;明明说是兄妹情，为什么可以见面却不见面，他们心里都藏着什么？
我;你想说些什么呢！
老师  您好  问您个问题啊  我结婚八年了    就是每次我和爱人分开一段时间的时候  他从来都不会主动给我打电话    也不给我发信息  口口上也不主动和我聊天   都是我主动给他打电话    发信息什么的    而且从来都不会说什么甜言蜜语   或者问问我今天过的怎么样啊吃的怎么样啊等等  都是有事说事  没事了就挂电话了   总是感觉他一点也不关心我  我心里真的挺不是滋味的   他到底为什么要这样对我  连最起码的关心都没有  他是不是已经不爱我了？？？;可以点击咨询师头像，加关注，私聊，具体帮你分析确诊，咨询治疗。最好通过平台电话联系我咨询。
网上认识的一个男生  三个月在一起分了四次手   每次都是他提出来的  他总是跟我说他是男神   现实有不少女生喜欢他   所以自己感觉没什么安全感   最开始在一起很好   第一次分手是刚刚一个月   他烦我的一些行为所以分了手   但第二天又来找回我  说他脾气不好  现在后悔了   后来分手的理由是他等不了我那么长的时间  说是看不下去身边的朋友在他面前秀恩爱   认为有个现实的比网络好  结果还是后来找回我 说是可以自己控制  每次分手都会对我承诺一些东西  也会大张旗鼓的发说说证明   但分手的时候大多违背了他说的     他特别喜欢玩游戏  以前玩游戏也不会不理我   现在经常是玩了就会不理我    过很久才回消息    我从来没有说过什么   一直都很顺着他    他说什么我就信什么   也不会去多问   现在离上一次分手过了两个星期   他对我的情绪不稳定    打电话总是不开心  叹气   玩游戏的时候就不会    但是就是没提过分手   他会因为很多小事就很忧伤   所以自己一直试图去逗笑他  却没有作用  前几天他的前女友来找他    他告诉我了   他说他已经让她走了   但是他还喜欢她   忘不了她   但是因为有我所以不会去做什么     他跟我说他经常打架   喜欢暴力解决一些问题   自己去劝也没有起过作用    现在不知道该怎么去面对他这种情绪   他到底还爱不爱我   我到底是该分手还是继续和他在一起;点击我的头像，再点击图文咨询
我;请问有什么可以帮你？
李;想说什么？
我是一个高一的男生，上学期喜欢上我们学校不同班的一个女孩，到现在差不多6个月了，春节的时候我和她表白，结果被她拒绝了，她并没有直接拒绝。                     我这个人万事都想得很远，于是拒绝后我和她的聊天记录                      我；总有一天我要把你的名字写进我家户口本   （我真的是希望如此）           她；你现在说这话太快了吧                                                   我；我是不会放弃的   她；然后呢   我；然后我还是不会放弃   她；好吧。      我；我们还可以做朋友吗   她；做朋友就是合得来就合，合不来就。。。          她是个比较文静的女孩，和女孩就聊得很嗨，在班里很少和男孩说话。 她的各种表现，我能看出她是个很有教养的女孩，她朋友说她比较喜欢霸道。  我和她聊天语气都很平凡。               我没打算放弃，至少毕业前不会放弃，如果日子久了她也看到我的真心和真诚会答应我吗    听很多人说一个女孩如果不喜欢一个男孩，那个男孩对她再好再真诚最好只得到她的一句我们真的不合适，我们还是做朋友吧                            请老师结合我们现在这个年龄的心里，看看我这样认真的对她日子久了她也看到我的真心和真诚会答应我吗   感激不尽！！！;好
爱上一个紧紧是因为放不下孩子不离婚的女人怎么办;你希望怎样呢
你好，跟你女朋友闹别扭了，她想要分手，我该怎么办;你们处多久了？你们多大了
你好我想请问一下，我现在不知道这段情感有没有结果;你细说说吧
你好！我和我老婆老在教育孩子的问题上争吵，烦;可关注 私聊或电话我
女方说他男朋友比我更懂她。却说我比他男朋友更成熟;到底啥意思
请问有没有这方面的医师入住海南，我想面对面跟他聊聊;网络咨询不好吗
女,婚前购买的小轿车有我的一万多请问离婚怎么分割;还给你一万多
感情问题，她喜欢上别人了，如果可以再次让她回来？;请问她为什么喜欢上别人呢？你们之间出现了什么问题呢？
女,夫妻户口在不同地区，小孩子落户是否会有问题;随其中的一方
男,29岁,女朋友好像出轨了，下班回来看见她有异常;帅哥
家挺暴力的婚姻怎么办，我想离婚，可是他不想离;美女
男,压抑感最初是有什么产生的，如何快速走出来？;简单说，就是依赖某人某事，然后深深失望。
女,30岁,你好，想咨询一下违建房是不是找城管解决;点我关注。我具体解释你听
我是一个女同性恋。23   结婚了。该怎么扭转性取向;好
感情不顺利，在一起时很好，不在一起时时常闹别扭;是什么原因呢？
还是想和他在一起，可是他让我忘记他，我该怎么办;能详细说说你的问题吗
我想问问，被告不接电话不出庭…法院没有办法吗;法院可以公告送达
女,不想出门不想找工作觉得全世界的人都是坏人！;是我错了，还是全世界都错了？
男,大学生创业注册公司什么的有什么优惠政策吗？;各地有不同的扶持政策，你可以向当地工商部门咨询
您好，我是技校就读生我可以参加今年的征兵吗？;只要达到入伍年龄即可
女,我结婚五年，现在想离婚，不知道能分到什么？;婚后财产平分
我是成包下别人的餐厅先，在国家要拆了我咋办，;请问我能起诉吗
姐姐离婚了不想出门不想工作觉得全世界都是坏人;你多大了
